timestamp,origem,cpu_milicores,memoria_mib
1783618473,argocd-redis-6f6867546c-dp4gw,3,5
1783618473,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618473,argocd-server-765575f778-ghm4z,1,46
1783618488,argocd-application-controller-0,3,114
1783618488,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618488,argocd-dex-server-99ff57675-dxbfz,1,18
1783618488,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618488,argocd-redis-6f6867546c-dp4gw,3,5
1783618488,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618488,argocd-server-765575f778-ghm4z,1,46
1783618503,argocd-application-controller-0,5,98
1783618503,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618503,argocd-dex-server-99ff57675-dxbfz,1,18
1783618503,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618503,argocd-redis-6f6867546c-dp4gw,3,5
1783618503,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618503,argocd-server-765575f778-ghm4z,1,46
1783618518,argocd-application-controller-0,33,121
1783618518,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618518,argocd-dex-server-99ff57675-dxbfz,1,18
1783618518,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618518,argocd-redis-6f6867546c-dp4gw,4,5
1783618518,argocd-repo-server-59444f4bbb-clf2r,7,45
1783618518,argocd-server-765575f778-ghm4z,7,37
1783618533,argocd-application-controller-0,33,121
1783618533,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618533,argocd-dex-server-99ff57675-dxbfz,1,18
1783618533,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618533,argocd-redis-6f6867546c-dp4gw,4,5
1783618533,argocd-repo-server-59444f4bbb-clf2r,3,54
1783618533,argocd-server-765575f778-ghm4z,1,37
1783618548,argocd-application-controller-0,31,123
1783618548,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618548,argocd-dex-server-99ff57675-dxbfz,1,18
1783618548,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618548,argocd-redis-6f6867546c-dp4gw,4,5
1783618548,argocd-repo-server-59444f4bbb-clf2r,3,54
1783618548,argocd-server-765575f778-ghm4z,7,43
1783618563,argocd-application-controller-0,31,123
1783618563,argocd-applicationset-controller-68fd97ccb6-gsvps,2,20
1783618563,argocd-dex-server-99ff57675-dxbfz,1,18
1783618563,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618563,argocd-redis-6f6867546c-dp4gw,4,5
1783618563,argocd-repo-server-59444f4bbb-clf2r,8,48
1783618563,argocd-server-765575f778-ghm4z,6,44
1783618578,argocd-application-controller-0,3,124
1783618578,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618578,argocd-dex-server-99ff57675-dxbfz,0,18
1783618578,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618578,argocd-redis-6f6867546c-dp4gw,3,5
1783618578,argocd-repo-server-59444f4bbb-clf2r,1,48
1783618578,argocd-server-765575f778-ghm4z,1,44
1783618593,argocd-application-controller-0,3,125
1783618593,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618593,argocd-dex-server-99ff57675-dxbfz,1,18
1783618593,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618593,argocd-redis-6f6867546c-dp4gw,3,5
1783618593,argocd-repo-server-59444f4bbb-clf2r,1,48
1783618593,argocd-server-765575f778-ghm4z,1,44
1783618608,argocd-application-controller-0,3,125
1783618608,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618608,argocd-dex-server-99ff57675-dxbfz,1,18
1783618608,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618608,argocd-redis-6f6867546c-dp4gw,3,5
1783618608,argocd-repo-server-59444f4bbb-clf2r,1,48
1783618608,argocd-server-765575f778-ghm4z,1,44
1783618623,argocd-application-controller-0,3,126
1783618623,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618623,argocd-dex-server-99ff57675-dxbfz,1,18
1783618623,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618623,argocd-redis-6f6867546c-dp4gw,4,5
1783618623,argocd-repo-server-59444f4bbb-clf2r,1,48
1783618623,argocd-server-765575f778-ghm4z,1,44
1783618638,argocd-application-controller-0,3,126
1783618638,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618638,argocd-dex-server-99ff57675-dxbfz,1,18
1783618638,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618638,argocd-redis-6f6867546c-dp4gw,4,5
1783618638,argocd-repo-server-59444f4bbb-clf2r,1,48
1783618638,argocd-server-765575f778-ghm4z,1,44
1783618653,argocd-application-controller-0,3,127
1783618653,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618653,argocd-dex-server-99ff57675-dxbfz,1,18
1783618653,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618653,argocd-redis-6f6867546c-dp4gw,3,5
1783618653,argocd-repo-server-59444f4bbb-clf2r,1,48
1783618653,argocd-server-765575f778-ghm4z,1,44
1783618668,argocd-application-controller-0,2,127
1783618668,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618668,argocd-dex-server-99ff57675-dxbfz,1,18
1783618668,argocd-notifications-controller-8596549fb6-6n9tl,1,19
